State,State_Abbreviation,Year,EduLevel,EduLevelCode,Births
North Carolina,NC,2016,"Associate degree (AA, AS)",5,11044
North Carolina,NC,2016,"Bachelor's degree (BA, AB, BS)",6,24234
North Carolina,NC,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2942
North Carolina,NC,2016,High school graduate or GED completed,3,27443
North Carolina,NC,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,10217
North Carolina,NC,2016,"Some college credit, but not a degree",4,27240
North Carolina,NC,2016,Unknown or Not Stated,-9,337
North Carolina,NC,2017,8th grade or less,1,4390
North Carolina,NC,2017,9th through 12th grade with no diploma,2,12421
North Carolina,NC,2017,"Associate degree (AA, AS)",5,11148
North Carolina,NC,2017,"Bachelor's degree (BA, AB, BS)",6,23506
North Carolina,NC,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,3017
North Carolina,NC,2017,High school graduate or GED completed,3,28252
North Carolina,NC,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,10254
North Carolina,NC,2017,"Some college credit, but not a degree",4,26866
North Carolina,NC,2017,Unknown or Not Stated,-9,271
North Carolina,NC,2018,8th grade or less,1,3943
North Carolina,NC,2018,9th through 12th grade with no diploma,2,11694
North Carolina,NC,2018,"Associate degree (AA, AS)",5,11226
North Carolina,NC,2018,"Bachelor's degree (BA, AB, BS)",6,24110
North Carolina,NC,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,3018
North Carolina,NC,2018,High school graduate or GED completed,3,28321
North Carolina,NC,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,10446
North Carolina,NC,2018,"Some college credit, but not a degree",4,25807
North Carolina,NC,2018,Unknown or Not Stated,-9,389
North Carolina,NC,2019,8th grade or less,1,3942
North Carolina,NC,2019,9th through 12th grade with no diploma,2,11254
North Carolina,NC,2019,"Associate degree (AA, AS)",5,11332
North Carolina,NC,2019,"Bachelor's degree (BA, AB, BS)",6,23941
North Carolina,NC,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,3117
North Carolina,NC,2019,High school graduate or GED completed,3,29577
North Carolina,NC,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,10606
North Carolina,NC,2019,"Some college credit, but not a degree",4,24528
North Carolina,NC,2019,Unknown or Not Stated,-9,428
North Carolina,NC,2020,8th grade or less,1,3884
North Carolina,NC,2020,9th through 12th grade with no diploma,2,10616
North Carolina,NC,2020,"Associate degree (AA, AS)",5,11198
North Carolina,NC,2020,"Bachelor's degree (BA, AB, BS)",6,24225
North Carolina,NC,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,3191
North Carolina,NC,2020,High school graduate or GED completed,3,29290
North Carolina,NC,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,10438
North Carolina,NC,2020,"Some college credit, but not a degree",4,23565
North Carolina,NC,2020,Unknown or Not Stated,-9,323
North Carolina,NC,2021,8th grade or less,1,3627
North Carolina,NC,2021,9th through 12th grade with no diploma,2,10187
North Carolina,NC,2021,"Associate degree (AA, AS)",5,11743
North Carolina,NC,2021,"Bachelor's degree (BA, AB, BS)",6,26112
North Carolina,NC,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,3425
North Carolina,NC,2021,High school graduate or GED completed,3,30032
North Carolina,NC,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,11680
North Carolina,NC,2021,"Some college credit, but not a degree",4,23322
North Carolina,NC,2021,Unknown or Not Stated,-9,338
Texas,TX,2016,8th grade or less,1,15083
Texas,TX,2016,9th through 12th grade with no diploma,2,58722
